"franchise_name","player_id","player_name","vbd_true_avg","true_position","pick_value_raw","comp_pick"
"Dresden Jaguars",14882,"Greenard, Jonathan",1.335,"DL",1.356,21
"Dresden Jaguars",13704,"Nwosu, Uchenna",-2.563,"DL",-2.5631,93
"Dresden Jaguars",12948,"Okwara, Romeo",-4.688,"DL",-4.6952,156
"Dresden Jaguars",14958,"Quarterman, Shaquille",-7.025,"LB",-6.5081,252
"Dresden Jaguars",15353,"Surratt, Chazz",-9.4,"LB",-6.5081,252
"Dresden Jaguars",15376,"Turner, Payton",-2.938,"DL",-2.9389,106
"Wandsbek Hogs",12280,"Clark, Frank",-3.724,"DL",-3.7069,131
"Wandsbek Hogs",11706,"Clowney, Jadeveon",-0.861,"DL",-0.8498,49
"Wandsbek Hogs",13700,"Landry, Harold",2.624,"DL",2.5758,9
"Wandsbek Hogs",13775,"Bentley, Ja'Whaun",1.667,"LB",1.6467,18
"Wandsbek Hogs",12762,"Vigil, Nick",-0.667,"LB",-0.6551,46
"Wandsbek Hogs",13697,"Edmunds, Tremaine",3.386,"LB",3.3537,2
"Wandsbek Hogs",12734,"Floyd, Leonard",2,"DL",2.0493,14
"Wandsbek Hogs",14200,"Tavai, Jahlani",-8.4,"LB",-6.5081,252
"Wandsbek Hogs",13684,"Hubbard, Sam",0.812,"DL",0.8051,27
"Wandsbek Hogs",14217,"Barton, Cody",-7.867,"LB",-6.5081,252
"Wandsbek Hogs",15385,"Ojulari, Azeez",-0.876,"DL",-0.8498,49
"Wandsbek Hogs",10465,"Smith, Malcolm",-2.733,"LB",-2.7405,99
"Wandsbek Hogs",14891,"Harrison, Malik",-7.169,"LB",-6.5081,252
"Wandsbek Hogs",11299,"Bostic, Jon",-2.6,"LB",-2.5915,94
"Wandsbek Hogs",14948,"Walker, Mykal",-5.838,"LB",-5.844,209
"Wandsbek Hogs",13702,"Jewell, Josey",-0.4,"LB",-0.3821,42
"Wandsbek Hogs",14979,"Strnad, Justin",-6,"LB",-6.0029,218
"Wandsbek Hogs",15387,"Werner, Pete",-2.614,"LB",-2.6213,95
"Munich Lions",12691,"Ogbah, Emmanuel",0,"DL",-0.0167,37
"Munich Lions",11795,"Hitchens, Anthony",-0.614,"LB",-0.5884,45
"Munich Lions",12238,"Perryman, Denzel",8.743,"LB",3.4684,1
"Munich Lions",13697,"Edmunds, Tremaine",3.386,"LB",3.3537,2
"Munich Lions",12218,"Armstead, Arik",-2,"DL",-2.0113,71
"Munich Lions",13304,"Brown, Jayon",0.4,"LB",0.3785,32
"Munich Lions",12287,"Hicks, Jordan",4.662,"LB",3.4684,1
"Munich Lions",15355,"Bolton, Nick",2.467,"LB",2.4685,10
"Munich Lions",12828,"Grugier-Hill, Kamu",5.369,"LB",3.4684,1
"Munich Lions",11769,"Lawrence, Demarcus",2.395,"DL",2.3622,11
"Munich Lions",10269,"Quinn, Robert",1.933,"LB",1.9471,15
"Munich Lions",12481,"Hewitt, Neville",-4.775,"LB",-4.7832,159
"Munich Lions",10292,"Jordan, Cameron",2.329,"DL",2.3622,11
"Munich Lions",12215,"Gregory, Randy",-1.393,"DL",-1.3892,58
"Munich Lions",12788,"Martinez, Blake",1.933,"LB",1.9471,15
"Munich Lions",15357,"Barmore, Christian",-3.563,"DL",-3.5608,127
