"player_id"; "player_name"; "pos"; "points"; "war"
11772; "Kirksey, Christian"; "LB"; 124; 0.21
11788; "Breeland, Bashaud"; "DB"; 101; 0.05
11795; "Hitchens, Anthony"; "LB"; 82; 0.02
11816; "Williamson, Avery"; "LB"; 0; -0.1
11872; "Harris, Shelby"; "DL"; 68; 0.01
11886; "Williams, Damien"; "RB"; 43.3; -0.02
11936; "Boswell, Chris"; "PK"; 39.7; 0.06
11938; "Thielen, Adam"; "WR"; 192.8; 0.75
11945; "Santos, Cairo"; "PK"; 35.4; -0.02
11947; "McManus, Brandon"; "PK"; 86.9; 0.05
11956; "Sorensen, Daniel"; "DB"; 86; -0.03
12075; "Barrett, Shaq"; "LB"; 130; 0.26
12088; "Phillips, Adrian"; "DB"; 134; 0.34
12140; "Winston, Jameis"; "QB"; 121.4; 0.05
12151; "Gordon, Melvin"; "RB"; 139.1; 0.33
12152; "Coleman, Tevin"; "RB"; 45.61; -0.03
12164; "Davis, Mike"; "RB"; 104.5; 0.16
12171; "Johnson, David"; "RB"; 72; -0.02
12175; "Cooper, Amari"; "WR"; 138.4; 0.28
12176; "Parker, DeVante"; "WR"; 74.9; 0.11
12181; "Agholor, Nelson"; "WR"; 92.7; -0.05
12184; "Crowder, Jamison"; "WR"; 94.2; 0.1
12186; "Diggs, Stefon"; "WR"; 202.8; 0.82
12187; "Lockett, Tyler"; "WR"; 169.25; 0.58
12206; "Williams, Maxx"; "TE"; 24.9; 0.04
12215; "Gregory, Randy"; "DL"; 47; 0.02
12217; "Fowler, Dante"; "DL"; 61; 0.03
12218; "Armstead, Arik"; "DL"; 61; -0.08
12221; "Hunter, Danielle"; "DL"; 85; 0.15
12222; "Flowers, Trey"; "DL"; 51; 0.03
12225; "Williams, Leonard"; "DL"; 116; 0.32
12231; "Thompson, Shaq"; "LB"; 140; 0.27
12233; "Alexander, Kwon"; "LB"; 72; 0.04
12234; "Dupree, Bud"; "LB"; 22; -0.11
