"player_id" "player_name" "pos" "points" "war"
12716 "Mills, Jalen" "DB" 107 0.09
12717 "Joseph, Karl" "DB" 117 0.14
12718 "Bell, Vonn" "DB" 124 0.18
12719 "Thompson, Darian" "DB" 42 -0.01
12734 "Floyd, Leonard" "LB" 91 0.05
12736 "Neal, Keanu" "DB" 159 0.44
12738 "Burns, Artie" "DB" 73 -0.1
12741 "Jones, Chris" "DL" 44 -0.06
12743 "Correa, Kamalei" "LB" 16 -0.51
12745 "Jones, Deion" "LB" 166 0.57
12748 "Davis, Sean" "DB" 117 0.13
12750 "Bradberry, James" "DB" 29 0.01
12751 "Gotsis, Adam" "DL" 48 -0.08
12752 "Byard, Kevin" "DB" 153 0.4
12753 "Nassib, Carl" "DL" 51 -0.13
12756 "Ngakoue, Yannick" "DL" 100 0.23
12762 "Vigil, Nick" "LB" 138 0.36
12767 "Simmons, Justin" "DB" 117 0.13
12768 "Schobert, Joe" "LB" 177 0.65
12774 "Goodson, B.J." "LB" 81 0.16
12776 "Killebrew, Miles" "DB" 75 -0.18
12777 "Louis, Ricardo" "WR" 48.3 -0.06
12778 "Kwiatkoski, Nick" "LB" 43 -0.02
12779 "Campbell, De'Vondre" "LB" 132 0.31
12784 "Morrison, Antonio" "LB" 111 0.16
12785 "Robinson, Demarcus" "WR" 25.9 -0.06
12788 "Martinez, Blake" "LB" 194 0.78
12792 "DeValve, Seth" "TE" 51 -0.06
12795 "Judon, Matt" "LB" 7 -0.06
12801 "Hill, Tyreek" "WR" 169.65 0.69
12805 "Brown, Jatavis" "LB" 109 0.14
12820 "James, Cory" "LB" 103 0.12
12831 "Roberts, Elandon" "LB" 88 0.04
12857 "Washington, DeAndre" "RB" 68.88 0.02
12860 "Fairbairn, Ka'imi" "PK" 2 -0.09
12864 "Marshall, Byron" "RB" 5.14 -0.02
12887 "Kelley, Rob" "RB" 43.68 -0.01
12912 "Richard, Jalen" "RB" 82.85 0.08
12930 "Anderson, Robby" "WR" 154.5 0.58
12938 "Poole, Brian" "DB" 52 0.07
12952 "Pierce, Michael" "DL" 37 -0.03
12956 "Lutz, Wil" "PK" 117.75 0.19
12982 "Moore, Corey" "DB" 5 -0.12
12990 "Farley, Matthias" "DB" 101 0.06
13108 "McKissic, J.D." "RB" 46.2 0
13113 "Watson, Deshaun" "QB" 177.86 0.28
13114 "Kizer, DeShone" "QB" 131.12 -0.1
13125 "Beathard, C.J." "QB" 82.6 0.03
13127 "Peterman, Nathan" "QB" -1.96 -0.21
13128 "Cook, Dalvin" "RB" 66.4 0.18
13129 "Fournette, Leonard" "RB" 157.8 0.45
13130 "McCaffrey, Christian" "RB" 171.44 0.73
13131 "Mixon, Joe" "RB" 123.2 0.37
13132 "Kamara, Alvin" "RB" 222 1.11
13133 "Perine, Samaje" "RB" 74.54 0.02
13135 "Gallman, Wayne" "RB" 51.1 -0.01
13136 "Clement, Corey" "RB" 74.75 0.02
13138 "Hunt, Kareem" "RB" 194.4 0.91
13139 "Williams, Jamaal" "RB" 68.6 -0.03
13144 "McGuire, Elijah" "RB" 29.71 -0.09
13153 "Davis, Corey" "WR" 40.5 0
13156 "Smith-Schuster, JuJu" "WR" 110.55 0.22
13157 "Samuel, Curtis" "WR" 39.53 -0.1
